Query,Precision (TF-IDF),Recall (TF-IDF),F1-score (TF-IDF),Precision (Word2Vec),Recall (Word2Vec),F1-score (Word2Vec),Precision (SBERT),Recall (SBERT),F1-score (SBERT)
computer graphics and image processing,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.1,0.2,0.13333333333333333
space mission,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
political debate,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.1,0.2,0.13333333333333333
baseball game,0.5,1.0,0.6666666666666666,0.1,0.2,0.13333333333333333,0.2,0.4,0.26666666666666666
climate change,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.1,0.2,0.13333333333333333
quantum mechanics,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.3,0.6,0.4
artificial intelligence,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.1,0.2,0.13333333333333333
financial markets,0.5,1.0,0.6666666666666666,0.1,0.2,0.13333333333333333,0.1,0.2,0.13333333333333333
healthcare technology,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
renewable energy,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.2,0.4,0.26666666666666666
